,asin,reviewerName,reviewText,overall,summary,post_neg,original_title,overview
10,B000GIOPK2,Brett Rumpelstiltskin,Very adult humor cutting in sarcasm and dry take on reality shows in the least.,5,A great adult series,1,Superman Returns,Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the Man of Steel.
11,B000GIOPK2,Candi,I already had seasons 1 and 3 so I'm pretty happy that I finally got season 2. If you haven't seen the show before it's insanely offensive and hilarious. So you have been warned. Enjoy!,5,Finally completed my collection!,1,Quantum of Solace,Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper the woman he loved 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth Bond and M interrogate Mr. White who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.
12,B000GIOPK2,"ChibiNeko ""Sooo many books, so little time!""",Fans of the previous season of Drawn Together will both be overjoyed to see this DVD set & a little disappointed. Those who aren't into extremely crude humor won't be as entertained though.This season picks up with the previous's cliffhanger of the plane crash then quickly tries to top the previous season. It pokes fun at the shows & characters that it's based on as well as making jabs at it's critics. The DVD set is uncensored which is nice but some of the jokes lose a bit of their punch. Half of the fun of watching it on TV is that things are blurred & curse words are bleeped. Even so fans of this series will be glad to own this set. Anyone else? Better off renting it.,5,"Always funny, but not for everyone.",1,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones he also attempts to avoid eternal damnation.
13,B000GIOPK2,Christopher Ward,Ok! This show is is absurd and is bad ,2,Thin comedy disguised with predictable shock value,0,The Lone Ranger,The Texas Rangers chase down a gang of outlaws led by Butch Cavendish but the gang ambushes the Rangers seemingly killing them all. One survivor is found however by an American Indian named Tonto who nurses him back to health. The Ranger donning a mask and riding a white stallion named Silver teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.
14,B000GIOPK2,Coral Twining,I gave it one star because of the quality of these videos. This is what I hate the most .I would not recommend this to anyone even if they enjoy watching this show.,1,Completely dissatisfied with video quality and censorship.,0,Man of Steel,A young boy learns that he has extraordinary powers and is not of this earth. As a young man he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.
15,B000GIOPK2,David Meldrum,This short lived show has it's moments and some episodes are pretty decent. I would recommend this show for any adult cartoon aficionado a parody-spoof on stupid reality shows. For that reason and good voice work and interesting characters I would recommend this DVD for any adult cartoon fan.,4,"Another vulgar adult cartoon, but pretty good overall",1,The Chronicles of Narnia: Prince Caspian,One year after their incredible adventures in the Lion the Witch and the Wardrobe Peter Edmund Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now with the help of a colorful cast of new characters including Trufflehunter the badger and Nikabrik the dwarf the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.
16,B000GIOPK2,Elliot Reed,"Finally this is out! The first season came out a few years ago and the long awaited season 2 finally gets a dvd release. Well this is a great show (although not for youngsters) and the laughs just keep on coming. The special features are kind of lacking only given some commentaries and of course a karaoke sing along. There are 15 uncensored episodes including the episode ""Terms of Endearment"" which was not included in the first season dvd due to legal problems. Anyways a funny show filled with potty humor not nessesarily smart or witty but fun nonetheless. Get it before they take it off the shelfs!",5,Animation Domination!!,1,The Avengers,When an unexpected enemy emerges and threatens global safety and security Nick Fury director of the international peacekeeping agency known as S.H.I.E.L.D. finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe a daring recruitment effort begins!
17,B000GIOPK2,EvFan17,Im not sure why Drawn Together was cancelled but it needs to be back on tv and stay on tv forever cuz this show is funny and awesome. As a fan of Drawn Together this show is amazing and for anyone who has not herd of this show needs to look it up. Drawn Together is an amazing show and i support Drawn Together forever!,5,Awesome show !,1,Pirates of the Caribbean: On Stranger Tides,Captain Jack Sparrow crosses paths with a woman from his past and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge the ship of the formidable pirate Blackbeard Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.
18,B000GIOPK2,"Faith Speed ""Mother Roar""",Drawn Together is for MATURE ADULT audiences ONLY!!! Full frontal nudity male and female adult situations sexual scenes language extreme violence etc. I Love Drawn Togetherit is hilarious  but we only watch it at night when the kids are in bed. They can't see or hear any of it! But we are fans!!!!!!!,5,Drawn Together,1,Men in Black 3,Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black but nothing not even aliens perplexes him as much as his wry reticent partner. But when K's life and the fate of the planet are put at stake Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner the agency and the future of humankind.
19,B000GIOPK2,"Hallur Hallsson ""HH-0436""",This one takes Season one and ramps it up .The jokes are dirtier funnier and not getting stale at all. 12 year old and a donkey jokes makes a comeback and I loved the series.,5,"Dirty, funny and a shame they ended in season 3",1,The Hobbit: The Battle of the Five Armies,Immediately after the events of The Desolation of Smaug Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor fueled by the rise of the dark lord Sauron. Dwarves elves and men must unite and the hope for Middle-Earth falls into Bilbo's hands.
20,B000GIOPK2,"James William Johnston ""ACE29""",more great laughs picking up where the 1st season left off. 3 seasons. collect the whole set its worth it. go captain hero!,5,DT2,1,The Amazing Spider-Man,Peter Parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego The Lizard Peter will make life-altering choices to use his powers and shape his destiny to become a hero.
21,B000GIOPK2,jamie rivera,One of the funniest shows ever insane and in your face! great price for this dvd collection cant wait to get season 3!,5,still wildly funny,1,Robin Hood,When soldier Robin happens upon the dying Robert of Loxley he promises to return the man's sword to his family in Nottingham. There he assumes Robert's identity; romances his widow Marion; and draws the ire of the town's sheriff and King John's henchman Godfrey.
22,B000GIOPK2,Jo Ann Mcbride,You have to love the Drawn Together series to own this.,5,Five Stars,1,The Hobbit: The Desolation of Smaug,The Dwarves Bilbo and Gandalf have successfully escaped the Misty Mountains and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon Smaug.
23,B000GIOPK2,"Karen James ""Musicfan""",The fans of Drawn Together have waited so long for this DVD to come out and let me tell you it's was well worth the wait!In this uncut and uncensored DVD we get to see something that I had waited for since the show began we get to hear Xandir sing however he doesn't sing very long and sounds like a cat being killed plus we see him in the nude.I absolutely love the commentary and deleted scenes along with the cast interviews they were  such a crack up!It's fun to see the cartoons we grew up with be parodied in this sick but funny as hell adult cartoon!,5,Drawn Together Season 2,1,The Golden Compass,After overhearing a shocking secret precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North unaware that it's part of her destiny.
24,B000GIOPK2,Ken,So disturbing so disgusting so over-the-top.  So great.,5,Raunchy goodness,1,King Kong,In 1933 New York an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island where they encounter Kong a giant ape who is immediately smitten with the leading lady.
25,B000GIOPK2,montrell,I always live this show because they do an day the crazyist things in shows its very funny to me,4,Very funny,1,Titanic,84 years later a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert Brock Lovett Lewis Bodine Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912 on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother Ruth DeWitt Bukater and her fiancé Caledon Hockley. Meanwhile a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th 1912 at 2:20 in the morning.
26,B000GIOPK2,"M. Sellers ""Fade To ALS""",I haven't laughed this hard and at the same time been totally offended I love this series I have the first 3 seasons,5,Drawn Together 2,1,Captain America: Civil War,Following the events of Age of Ultron the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers causing two factions to side with Iron Man or Captain America which causes an epic battle between former allies.
27,B000GIOPK2,"N. Durham ""Big Evil""",The second season of Comedy Central's animated reality TV spoofing Drawn gets off to a great start but sadly it wears thin the further it goes on. All in all though if you enjoy the show for what it's worth despite it's flaws this DVD set is definitely worth picking up regardless.,3,"Funny in the beginning, but wears thin",0,Battleship,When mankind beams a radio signal into space a reply comes from ‘Planet G’ in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders Hopper must also try to live up to the potential his brother and his fiancée's father Admiral Shane expect of him.
28,B000GIOPK2,Nurse Palmer,The product arrived promptly as stated by Amazon.  Drawn Together is very funny.  Not for the faint hearted.  If you like your humour crude and full frontal this is the season dvd for you.  I loved it  very funny.,4,Very funny and borderline offensive,1,Jurassic World,Twenty-two years after the events of Jurassic Park Isla Nublar now features a fully functioning dinosaur theme park Jurassic World as originally envisioned by John Hammond.
29,B000GIOPK2,"R. Kline ""utgirl28""",I received product very promptly and before my Hubby's birthday he was very surprised.  We have been looking for this item for awhile and I am glad once again Amazon was able to come thru.,4,birthday gift for husband,1,Skyfall,When Bond's latest assignment goes gravely wrong and agents around the world are exposed MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent Eve - following a trail to the mysterious Silva whose lethal and hidden motives have yet to reveal themselves.
30,B000GIOPK2,Rmi du Crest,What more can one say about Drawn Together?! The show is self-explanatory! And season 2 is just the perfect embodiement of this. DT has no respect for anything except for the length of an episode(the 30mns format - but that's just the rule for any tv show out there 30 mns commercials included or an hour but cartoons are always using the first format).And this is really the only thing DT obeys. For the rest... Anything's game (which means laughing material) for this show. They'll stop at nothing on the road to destroying all taboos! And that's how this satiric animated show found itself a place in a rather crowded category (by quality even more than by quantity) where The Simpsons South Park and Family Guy reign. But DT pushes the limit even further nesting in that dirty area where even the other three won't go.The only limit to that strategy is that DT is burning the candle by the two ends and hadn't the show been cancelled at the end of the third season they'd probably have run out of taboos to break anyway after 4 to 5 years.But let's salute the effort and appreciate the freedom of speech of the show even if half of this liberty's wasted on filthy disgusting low-level jokes. The other half is just worth the buy!,5,DT at its finest,1,Spider-Man 2,Peter Parker is going through a major identity crisis. Burned out from being Spider-Man he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime Parker still can't act on his feelings for Mary Jane Watson a girl he's loved since childhood.
31,B000GIOPK2,"Robin Lrbck ""Roblor""",Just like the last season this one gives you hours of laughter and tears.Uncensored and brutal the Drawn Together gang will once again in the most twisted way show you how hard life on a reality show can be.With more episodes more racist humor and even more stoned producers this season will without a doubt be even more entertaining than the first one.If you liked the first season this is a must! If you didn't like the first season well then go back to watching The Simpsons and miss out on this fantastic DVD.All my five are belong to this!,5,As good as it gets.,1,Iron Man 3,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin he starts an odyssey of rebuilding and retribution.
32,B000GIOPK2,Roger R. Paradis,If you like politically incorrect humor and no holds barred slights then this is the toon for you.They went a little too gay this season but not totally outside of the realm for the characters.,4,My type of humor,1,Alice in Wonderland,Alice an unpretentious and individual 19-year-old is betrothed to a dunce of an English nobleman. At her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland' she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.
33,B000GIOPK2,Shadow,If you love the vulgar humor and cliches then buy all the seasons sucks they took them off air guess suits couldnt handle it.,5,Said it before,1,X-Men: The Last Stand,When a cure is found to treat mutations lines are drawn amongst the X-Men and The Brotherhood a band of powerful mutants organized under Xavier's former ally Magneto.
34,B000GIOPK2,"Timothy Branik ""PKTACES""","Hi I am not usually embarrassed by adult humor but this ""Uncensored"" version goes too far I mean I did not need to see nude cartoons to enjoy this movie - on the contrary that ruined it for me and there was no ""clean"" version on the disk so i was stuck watching or trying to get through this filth.",2,MAYBE IT'S NOT JUST FOR ME,0,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
35,B000GIOPK2,travis pressley,Perfect. Prompt service. Painless. Product was exactly as described given as a gift and receipient was thoroughly pleased. Thank you,5,Review,1,Transformers: Revenge of the Fallen,Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols the Decepticons target him and he is dragged back into the Transformers' war.
36,B000GIOPK2,Travis W. Oliver,Drawn together is great. I love the jokes the puns the straight up silliness. The only thing is I think it's missing a scene in one episode on the DVD. Other than that it's great.,4,"Drawn Together - Nice second season, but...",1,Transformers: Age of Extinction,"As humanity picks up the pieces following the conclusion of ""Transformers: Dark of the Moon"" Autobots and Decepticons have all but vanished from the face of the planet. However a group of powerful ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient powerful Transformer menace sets Earth in his cross-hairs."
37,B000GIOPK2,Truthiness,"The funniest show on the planet!  The most creative offensive show ever.  If you want your sides to hurt from laughing get this DVD now!""Foxy vs. The Board of Education"" is a classic!  ""I's got to get my mystery science license!""",5,"Oh God, I'm In Heaven!!!",1,Oz: The Great and Powerful,Oscar Diggs a small-time circus illusionist and con-artist is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy there to save Oz from the clutches of evil.
38,B000GIOPK2,William Slocumb,"If you enjoyed the first season of Drawn Together you'll certainly want to add the second season to your video library.My favorite episode is ""Super Nanny"" when Ling Ling is trying to get his drivers license.  That is FUNNY stuff!!If you weren't a fan of the first season you won't like the second season (and why are you even reading these reviews?!).I personally can't wait to pick up my copy and I'm looking forward to season three.",5,The only way to make it funnier would be to add George Bush to the cast!,1,The Amazing Spider-Man 2,For Peter Parker life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves Gwen Stacy high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away but that is a promise he cannot keep. Things will change for Peter when a new villain Electro emerges an old friend Harry Osborn returns and Peter uncovers new clues about his past.
39,B000GIPKWY,"Bookreader79424 ""I love Casa Ole!""","I can't say enough great things about this wonderful tv-series! It makes the Bible and biblical events come to life. While I don't know how many of the ""mysteries"" are ""mysteries"" because to me as a Methodist Christian it appears that God has clearly stated what He means in the Bible by most of these ""mysteries"" but other topics that are explored that God seems to be silent about in the Bible are fascinating to learn about via the professors and archaelogists that are in this dynamic series on the Bible. Do I agree with everything the scholars say about the Bible and some of the mysteries that are explored in this great series? Definitely no! However if you love the Bible as much as I do as well as have an interest in knowledge; especially biblical questions and mysteries then this series is definitely worth buying! I haven't bought this dvd collection yet but I have rented the dvds and seen the tv series when it used to air on tv and it's a great DVD collection to add to your already pre-existing dvd collection! The price is affordable and well worth it! For the knowledge alone I'm surprised that it doesn't cost well over $100 for this entire series! A & E should create new episodes of ""Mysteries of the Bible"" because no other documentary series about the Bible seems to be as good as this one.",5,Best documentary series on the Bible...EVER!,1,TRON: Legacy,Sam Flynn the tech-savvy and daring son of Kevin Flynn investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra Sam quests to stop evil dictator Clu from crossing into the real world.
40,B000GIPKWY,"bookworm ""Courage is not simply one of the vi...",I love the series. It's early episodes were not nearly as good as later ones. I avidly tivo'd the series until I discovered it was on DVD. Great narration excellent diverse commentaries powerful quotes from the Torah or Bible (as applicable). It's an awesome giftset for anyone who wants to learn more about Judaism or Christianity.,4,"Great, informative series on the Torah and Bible",1,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
41,B000GIPKWY,"Christopher M. Fulton ""Purveyor of Truth""",I always enjoyed watching this when it aired on TV.  It gives fresh perspective on the Bible stories we all loved and wanted to know more about.  They go as in depth as you could expect for an hour long show.  Well worth the purchase price.,5,Good series,1,Green Lantern,For centuries a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe their fate and the fate of Earth lie in the hands of the first human ever recruited.
42,B000GIPKWY,"David A. Stathopulo ""Cadfael22""",The show is total flop and not worth watching.,1,Astonishing Theories,0,Toy Story 3,Woody Buzz and the rest of Andy's toys haven't been played with in years. With Andy about to go to college the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.
43,B000GIPKWY,DESERTMAN40,Mysteries of the Bible is an hour-long documentary series that was broadcast by A&E.Each; episode explored the authenticity and the accuracy of the greatest tales of the scriptures that has been bothering humanity for thousands of years.It was hosted by Richard Kellywho acted as narrator and the late actressJean Simmonswho read the Biblical quotes which provides the scriptural basis on the topic being discussed.Many expertsscientists and Biblical scholars have participated and provided their input about the scriptures and their revelations will definitely astonish the viewers.Added to thatit was filmed on the exact locations where the supposed events happened where archaeological factsevidences and surprisingly religious art were gathered.This is a joy to watch especially for viewers who want to learn more about the Sacred Scriptures.It is interestingvisually attractive and highly addictive.What's more is the fact that one will not only be enriched with knowledge not only about Christianity and Judaism but also surprisingly Islam.This will definitely make someone appreciate one's faith and religious beliefs.,5,The Documentary Series Explores Authenticity And Accuracy Of The Scriptures,1,Terminator Salvation,All grown up in post-apocalyptic 2018 John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.
44,B000GIPKWY,Edward J. Barton,This set is great for the casual learner.  The set is getting dated - going back to the mid-90's but not much has changed dramatically in the field of Biblical Archeology - which is largely the premise.  The narration by Richard Kiley and Jean Simmons is pretty good though cal lull you to sleep with the dulet tones.  The content is good as well with interview of scholars archaeologists religious and others who interweave the various components together to explore some of the Bible's unanswered and unanswerable questions. The integration of Jewish and Christian thought is well done and I believe that either Christian or Jew will find this set entertaining and enlightening.  If you are a heavy duty Bible scholar this is pretty light weight.  For the bulk of us though you will learn a lot it will pique your interest and you can feel comfortable that there isn't a great religious agenda behind the shows.,4,A Good Set For The Casual Learner,1,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
45,B000GIPKWY,G. Hill,I own the boxed set of this collection. Even though I was an avid fan of the show I still re-watch the DVD episodes with rapt attention.  Unlike many religious themed films this series does not promote a specific point of view. Viewers of all faiths and denominations will find that it deepens and enriches their understanding and appreciation for the spiritual lessons of the Bible. Each episode is well-rounded beautifully photographed and a complete delight to watch.The Mysteries of the Bible series weaves questions about the Biblical figures culture and spiritual meaning into a visual and intellectual feast. It combines actual footage of locations in the Bible with amazing religious art captivating narration and answers from archeology and a spectrum of Biblical scholars. It's a formula that mesmerized fans for years. Who would have thought that a show like this would so captivate the non-scholars among us?This series succeeded for so long because it recognized that readers of the world's most popular book want to know and understand more about the culture context and deeper meanings of the Bible. You won't regret purchasing any of the episodes or DVD's. This series represents the best of the best.,5,Mesmerizing and Addicting,1,World War Z,Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.
